Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
Other,73465.0,Intel,Yes,4,LP4,LCD,Intel,0,Intel Celeron,Small,Entry-level,3.0,128
Acer,241465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.0,512
MSI,250215.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,2.5,512
HP,124250.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,512
Acer,227465.0,Intel,No,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.0,512
MSI,244965.0,Intel,No,16,4,LED,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
ASUS,181265.0,Intel,No,8,4,LED,Intel,1024,Intel I5,Small,Low-end,2.5,0
MSI,222470.5,Intel,No,16,4,LED,NVIDIA,0,Intel I7,Small,Mid-end,3.0,512
Lenovo,127050.0,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
HP,194215.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Acer,111965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.5,512
Dell,160965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Entry-level,3.5,512
Other,132996.5,Intel,No,8,4,LCD,Intel,0,Intel I3,Small,Low-end,1.5,512
Other,104965.0,Intel,No,16,LP4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Lenovo,182350.0,AMD,No,16,4,LED,AMD,0,AMD Ryzen 7,Small,Entry-level,2.0,512
Lenovo,125965.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,512
Other,146965.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,2.0,512
Apple,524650.0,Apple,No,8,5,LCD,Apple,0,Apple M-series,Small,High-end,3.5,512
HP,208215.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.0,512
Lenovo,96215.0,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
Other,101465.0,Intel,No,8,LP4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Acer,279965.0,Intel,No,16,LP5,LED,Intel,0,Intel I5,Small,Low-end,2.5,512
Dell,223996.5,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,4.0,256
HP,178465.0,AMD,No,16,LP5,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
HP,162715.0,AMD,Yes,8,LP5,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,3.0,512
Acer,332465.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I5,Large,Mid-end,2.5,512
HP,238742.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Large,Mid-end,4.0,512
Lenovo,129465.0,Intel,Yes,8,4,LCD,Intel,1024,Intel I3,Small,Entry-level,2.0,0
Lenovo,234465.0,Intel,Yes,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.0,512
HP,213465.0,AMD,No,16,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
Lenovo,202965.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
Lenovo,200550.0,Intel,No,8,4,LED,Intel,0,Intel I3,Small,Entry-level,3.0,512
ASUS,127736.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
Acer,167965.0,AMD,Yes,8,4,LCD,NVIDIA,0,AMD Ryzen 5,Small,Mid-end,3.5,512
Dell,181996.5,Intel,No,16,4,LCD,Intel,0,Intel I5,Small,Entry-level,2.5,512
HP,195996.5,AMD,Yes,16,4,LCD,AMD,0,AMD Ryzen 5,Small,Mid-end,3.5,512
HP,230965.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,4.0,512
Dell,263550.0,AMD,Yes,8,4,LED,AMD,0,AMD Ryzen 5,Small,Mid-end,3.0,512
HP,271215.0,Intel,Yes,16,4,LCD,NVIDIA,0,Intel I7,Small,Mid-end,4.5,512
ASUS,100450.0,Intel,No,8,4,LCD,Intel,1024,Intel I3,Small,Entry-level,1.0,0
HP,306215.0,Intel,No,16,4,LCD,Intel,0,Intel I7,Small,Low-end,4.5,1024
