Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE(DDR),Ghz,Display_type,GPU_Brand,SSD(GB),HDD(GB),Display_Tier,GPU_Tier,Processor_Tier,Processor_Speed(Ghz)
Asus,129496.5,Intel,No,8,4,4.0,LCD,Intel,512.0,0,Small,Entry-level,Other,4.0
Dell,313250.0,AMD,No,16,5,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.5
Samsung,255465.0,Intel,No,16,5,4.2,LED,Intel,512.0,0,Small,Low-end,Other,4.0
Lenovo,122465.0,Intel,No,8,4,2.7385892116182573,LED,Intel,256.0,0,Large,Entry-level,Other,2.5
Acer,454965.0,Intel,Yes,16,4,4.8,LCD,NVIDIA,1024.0,0,Large,Mid-end,Other,5.0
Msi,230996.5,Intel,No,8,4,2.6,LED,NVIDIA,256.0,1024,Large,Mid-end,Other,2.5
Dell,269150.0,Intel,Yes,8,4,2.5,LED,Intel,512.0,0,Small,Low-end,Other,2.5
Asus,178465.0,Intel,Yes,8,4,2.5,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Asus,496965.0,AMD,Yes,16,5,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,High-End,3.5
Asus,209996.5,AMD,Yes,8,4,3.4,LCD,AMD,256.0,0,Large,Entry-level,Low-End,3.5
Asus,115465.0,Intel,Yes,8,4,1.2,LED,Intel,512.0,0,Large,Entry-level,Other,1.0
Other,174965.0,Intel,No,16,5,4.8,LCD,Intel,512.0,0,Large,Low-end,Other,5.0
Lenovo,187372.5,Intel,No,8,4,2.5,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Hp,132965.0,AMD,Yes,8,4,2.6,LCD,AMD,512.0,0,Large,Entry-level,Low-End,2.5
Hp,101465.0,Intel,No,8,4,2.8,LCD,Intel,256.0,0,Small,Entry-level,Low-End,3.0
Asus,146965.0,AMD,No,8,4,2.6,LCD,AMD,512.0,0,Large,Low-end,Low-End,2.5
Acer,194250.0,Intel,Yes,16,4,3.3,LED,NVIDIA,512.0,0,Large,Mid-end,Other,3.5
Asus,209300.0,Intel,No,8,4,3.3,LED,Intel,512.0,0,Large,Entry-level,Other,3.5
Dell,148396.5,Intel,No,8,4,2.7385892116182573,LCD,Intel,256.0,1024,Large,Entry-level,Other,2.5
Lenovo,199496.5,Intel,No,8,4,3.0,LED,Intel,512.0,0,Small,Entry-level,Other,3.0
Acer,110215.0,Intel,No,8,5,2.7385892116182573,LCD,Intel,256.0,0,Large,Entry-level,Other,2.5
Acer,115465.0,AMD,Yes,8,5,2.8,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,3.0
Asus,272965.0,AMD,Yes,16,4,2.9,LCD,NVIDIA,512.0,0,Large,Mid-end,High-End,3.0
Dell,118965.0,Intel,Yes,8,4,1.0,LCD,Intel,256.0,0,Large,Entry-level,Other,1.0
Dell,279965.0,AMD,No,16,5,3.3,LCD,NVIDIA,512.0,0,Large,Mid-end,High-End,3.5
Asus,321965.0,AMD,No,16,4,4.2,LED,AMD,512.0,0,Small,Entry-level,Mid-End,4.0
Acer,108465.0,AMD,No,8,5,2.4,LCD,AMD,512.0,0,Large,Entry-level,Low-End,2.5
Hp,225928.5,AMD,Yes,8,4,4.2,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,4.0
Other,97965.0,Intel,No,8,4,3.4,LCD,Intel,512.0,0,Small,Entry-level,Other,3.5
Acer,250180.0,Intel,No,8,4,4.2,LED,Intel,512.0,0,Small,Low-end,Other,4.0
Apple,318150.0,Apple,Yes,8,4,2.9,LED,Apple,256.0,0,Small,High-end,Apple M-series,3.0
Other,150496.5,Intel,Yes,8,4,3.0,LCD,Intel,256.0,0,Small,Entry-level,Other,3.0
Apple,237965.0,Intel,No,8,3,1.8,LED,Intel,128.0,0,Small,Entry-level,Other,2.0
Hp,217392.0,AMD,Yes,8,4,3.3,LED,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.5
Asus,202965.0,Intel,No,8,4,2.0,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.0
Hp,199465.0,AMD,Yes,8,4,3.3,LED,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.5
Hp,118965.0,Intel,No,8,4,4.2,LCD,Intel,256.0,0,Small,Entry-level,Other,4.0
Asus,125965.0,Intel,Yes,8,4,1.2,LCD,Intel,512.0,0,Large,Entry-level,Other,1.0
Hp,129580.5,Intel,No,8,4,4.0,LCD,Intel,512.0,0,Large,Entry-level,Other,4.0
Acer,173250.0,Intel,No,8,4,2.5,LED,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Asus,118965.0,Intel,No,8,4,3.0,LCD,Intel,512.0,0,Large,Entry-level,Other,3.0
Hp,129465.0,AMD,Yes,8,4,2.6,LED,AMD,256.0,1024,Large,Low-end,Low-End,2.5
Asus,146996.5,Intel,Yes,8,4,2.4,LCD,Intel,512.0,0,Large,Low-end,Other,2.5
Asus,164465.0,Intel,No,16,4,2.4,LCD,Intel,512.0,0,Small,Low-end,Other,2.5
Asus,178465.0,Intel,Yes,8,4,2.4,LCD,NVIDIA,512.0,0,Large,Mid-end,Other,2.5
Apple,325465.0,Apple,No,8,5,3.49,LCD,Apple,256.0,0,Small,High-end,Apple M-series,3.5
Hp,127746.5,AMD,Yes,8,4,4.0,LCD,AMD,512.0,0,Large,Entry-level,Mid-End,4.0
Acer,173215.0,AMD,Yes,8,4,2.1,LCD,NVIDIA,512.0,0,Large,Mid-end,Mid-End,2.0
Acer,199465.0,AMD,Yes,16,4,2.9869688385269124,LED,NVIDIA,512.0,0,Large,Mid-end,Mid-End,3.0
Acer,173215.0,AMD,Yes,8,4,2.1,LED,NVIDIA,512.0,0,Large,Mid-end,Mid-End,2.0
Asus,157465.0,Intel,Yes,8,4,1.0,LCD,Intel,512.0,0,Large,Entry-level,Other,1.0
Lenovo,118650.0,Intel,Yes,8,4,3.0,LCD,Intel,512.0,0,Large,Entry-level,Other,3.0
Hp,108465.0,AMD,Yes,8,4,2.6,LCD,AMD,512.0,0,Large,Entry-level,Low-End,2.5
