Price,RAM_Expandable,RAM,RAM_TYPE(DDR),Display_type,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB),Brand_Acer,Brand_Apple,Brand_Dell,Brand_HP,Brand_Lenovo,Brand_MSI,Brand_Other,Brand_Samsung,Processor_Apple,Processor_Intel,GPU_Apple,GPU_Intel,GPU_NVIDIA
178465.0,1,8,4,0,1.0,2.5,2,3,512,0,False,False,False,False,False,False,False,False,False,True,False,False,True
496965.0,1,16,5,0,2.0,3.5,2,3,512,0,False,False,False,False,False,False,False,False,False,False,False,False,True
209996.5,1,8,4,0,0.0,3.5,2,1,256,0,False,False,False,False,False,False,False,False,False,False,False,False,False
115465.0,1,8,4,1,0.0,1.0,2,1,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
174965.0,0,16,5,0,2.0,5.0,2,2,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
187372.5,0,8,4,1,1.0,2.5,2,3,512,0,False,False,False,False,True,False,False,False,False,True,False,False,True
132965.0,1,8,4,0,0.0,2.5,2,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
101465.0,0,8,4,0,0.0,3.0,1,1,256,0,False,False,False,True,False,False,False,False,False,True,False,True,False
146965.0,0,8,4,0,0.0,2.5,2,2,512,0,False,False,False,False,False,False,False,False,False,False,False,False,False
194250.0,1,16,4,1,1.0,3.5,2,3,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
209300.0,0,8,4,1,0.0,3.5,2,1,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
148396.5,0,8,4,0,0.0,2.0,2,1,256,1024,False,False,True,False,False,False,False,False,False,True,False,True,False
199496.5,0,8,4,1,0.0,3.0,1,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
110215.0,0,8,5,0,0.0,2.0,2,1,256,0,True,False,False,False,False,False,False,False,False,True,False,True,False
115465.0,1,8,5,0,1.0,3.0,2,1,512,0,True,False,False,False,False,False,False,False,False,False,False,False,False
272965.0,1,16,4,0,2.0,3.0,3,3,512,0,False,False,False,False,False,False,False,False,False,False,False,False,True
118965.0,1,8,4,0,0.0,1.0,2,1,256,0,False,False,True,False,False,False,False,False,False,True,False,True,False
279965.0,0,16,5,0,2.0,3.5,2,3,512,0,False,False,True,False,False,False,False,False,False,False,False,False,True
321965.0,0,16,4,1,1.0,4.0,1,1,512,0,False,False,False,False,False,False,False,False,False,False,False,False,False
108465.0,0,8,5,0,0.0,2.5,2,1,512,0,True,False,False,False,False,False,False,False,False,False,False,False,False
225928.5,1,8,4,0,1.0,4.0,2,3,512,0,False,False,False,True,False,False,False,False,False,False,False,False,True
97965.0,0,8,4,0,0.0,3.5,1,1,512,0,False,False,False,False,False,False,True,False,False,True,False,True,False
250180.0,0,8,4,1,1.0,4.0,1,2,512,0,True,False,False,False,False,False,False,False,False,True,False,True,False
318150.0,1,8,4,1,,3.0,1,4,256,0,False,True,False,False,False,False,False,False,True,False,True,False,False
150496.5,1,8,4,0,0.0,3.0,1,1,256,0,False,False,False,False,False,False,True,False,False,True,False,True,False
237965.0,0,8,3,1,1.0,2.0,1,1,128,0,False,True,False,False,False,False,False,False,False,True,False,True,False
217392.0,1,8,4,1,1.0,3.5,3,3,512,0,False,False,False,True,False,False,False,False,False,False,False,False,True
202965.0,0,8,4,1,1.0,2.0,3,3,512,0,False,False,False,False,False,False,False,False,False,True,False,False,True
83314.0,1,4,4,1,0.0,1.0,2,1,0,1024,False,False,False,False,False,False,False,False,False,True,False,True,False
199465.0,1,8,4,1,1.0,3.5,2,3,512,0,False,False,False,True,False,False,False,False,False,False,False,False,True
118965.0,0,8,4,0,0.0,4.0,1,1,256,0,False,False,False,True,False,False,False,False,False,True,False,True,False
125965.0,1,8,4,0,0.0,1.0,2,1,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
129580.5,0,8,4,0,0.0,4.0,2,1,512,0,False,False,False,True,False,False,False,False,False,True,False,True,False
173250.0,0,8,4,1,1.0,2.5,2,3,512,0,True,False,False,False,False,False,False,False,False,True,False,False,True
118965.0,0,8,4,0,0.0,3.0,2,1,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
129465.0,1,8,4,1,0.0,2.5,2,2,256,1024,False,False,False,True,False,False,False,False,False,False,False,False,False
146996.5,1,8,4,0,1.0,2.5,2,2,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
164465.0,0,16,4,0,1.0,2.5,1,2,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
178465.0,1,8,4,0,1.0,2.5,2,3,512,0,False,False,False,False,False,False,False,False,False,True,False,False,True
325465.0,0,8,5,0,,3.5,1,4,256,0,False,True,False,False,False,False,False,False,True,False,True,False,False
127746.5,1,8,4,0,1.0,4.0,2,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
173215.0,1,8,4,0,1.0,2.0,2,3,512,0,True,False,False,False,False,False,False,False,False,False,False,False,True
199465.0,1,16,4,1,1.0,3.0,2,3,512,0,True,False,False,False,False,False,False,False,False,False,False,False,True
173215.0,1,8,4,1,1.0,2.0,2,3,512,0,True,False,False,False,False,False,False,False,False,False,False,False,True
157465.0,1,8,4,0,1.0,1.0,2,1,512,0,False,False,False,False,False,False,False,False,False,True,False,True,False
118650.0,1,8,4,0,0.0,3.0,2,1,512,0,False,False,False,False,True,False,False,False,False,True,False,True,False
108465.0,1,8,4,0,0.0,2.5,2,1,512,0,False,False,False,True,False,False,False,False,False,False,False,False,False
