Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE,Processer_speed,Display_type,GPU_Brand,SSD(GB),HDD(GB),Processor_Series,Processor_Tier,Display_Category,GPU_Tier
Acer,123196.5,Intel,No,8,DDR5,3.4,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Acer,115465.0,Intel,Yes,8,DDR4,1.7,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Acer,83996.5,Intel,Yes,4,DDR4,2.4,LED,Intel,256,0,Intel Pentium,Low-End,Medium,Entry-level
ASUS,227465.0,Intel,No,16,DDR4,2.6,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Lenovo,255465.0,AMD,Yes,16,DDR4,3.3,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Mid-end
ASUS,594965.0,Intel,No,32,DDR5,2.5,LED,Intel,1024,0,Intel Core I9,High-End,Small,Entry-level
HP,192465.0,Intel,Yes,16,DDR4,4.2,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
ASUS,339465.0,AMD,Yes,16,DDR5,4.7,LCD,NVIDIA,1024,0,AMD Ryzen 7,Upper Mid-End,Medium,Mid-end
ASUS,129496.5,Intel,No,8,DDR4,4.0,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Dell,313250.0,AMD,No,16,DDR5,3.3,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
Samsung,255465.0,Intel,No,16,DDR5,4.2,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Acer,454965.0,Intel,Yes,16,DDR4,4.8,LCD,NVIDIA,1024,0,Intel Core I9,High-End,Medium,Mid-end
MSI,230996.5,Intel,No,8,DDR4,2.6,LED,NVIDIA,256,1024,Intel Core I7,Upper Mid-End,Medium,Mid-end
Dell,269150.0,Intel,Yes,8,DDR4,2.5,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
ASUS,178465.0,Intel,Yes,8,DDR4,2.5,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,496965.0,AMD,Yes,16,DDR5,3.3,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Mid-end
ASUS,209996.5,AMD,Yes,8,DDR4,3.4,LCD,AMD,256,0,AMD Ryzen 3,Low-End,Medium,Entry-level
ASUS,115465.0,Intel,Yes,8,DDR4,1.2,LED,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Other,174965.0,Intel,No,16,DDR5,4.8,LCD,Intel,512,0,Intel Core I7,Upper Mid-End,Medium,Entry-level
Lenovo,187372.5,Intel,No,8,DDR4,2.5,LED,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
HP,132965.0,AMD,Yes,8,DDR4,2.6,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Low-end
HP,101465.0,Intel,No,8,DDR4,2.8,LCD,Intel,256,0,Intel Celeron,Low-End,Small,Entry-level
ASUS,146965.0,AMD,No,8,DDR4,2.6,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Entry-level
Acer,194250.0,Intel,Yes,16,DDR4,3.3,LED,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,209300.0,Intel,No,8,DDR4,3.3,LED,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
Lenovo,199496.5,Intel,No,8,DDR4,3.0,LED,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Acer,115465.0,AMD,Yes,8,DDR5,2.8,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
ASUS,272965.0,AMD,Yes,16,DDR4,2.9,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Large,Mid-end
Dell,118965.0,Intel,Yes,8,DDR4,1.0,LCD,Intel,256,0,Intel Core I3,Low-End,Medium,Entry-level
Dell,279965.0,AMD,No,16,DDR5,3.3,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Medium,Mid-end
ASUS,321965.0,AMD,No,16,DDR4,4.2,LED,AMD,512,0,AMD Ryzen 5,Mid-End,Small,Low-end
Acer,108465.0,AMD,No,8,DDR5,2.4,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Low-end
HP,225928.5,AMD,Yes,8,DDR4,4.2,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
Other,97965.0,Intel,No,8,DDR4,3.4,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Acer,250180.0,Intel,No,8,DDR4,4.2,LED,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Apple,318150.0,Apple,Yes,8,DDR4,3.2,LED,Apple,256,0,Apple M-series,Apple M-series,Small,High-end
Other,150496.5,Intel,Yes,8,DDR4,3.0,LCD,Intel,256,0,Intel Core I3,Low-End,Small,Entry-level
Apple,237965.0,Intel,No,8,DDR3,1.8,LED,Intel,128,0,Intel Core I5,Mid-End,Small,Entry-level
HP,217392.0,AMD,Yes,8,DDR4,3.3,LED,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Large,Mid-end
