Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,Operating_System,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB)
0,83314.0,2,1,4,3,1,2,3,0.0,1.0,1,1,0,1024
4,199465.0,0,1,8,3,1,3,3,1.0,3.5,1,3,512,0
4,118965.0,2,0,8,3,0,2,4,0.0,4.0,1,1,256,0
0,125965.0,2,1,8,3,0,2,4,0.0,1.0,1,1,512,0
4,129580.5,2,0,8,3,0,2,4,0.0,4.0,1,1,512,0
1,173250.0,2,0,8,3,1,3,3,1.0,2.5,1,3,512,0
0,118965.0,2,0,8,3,0,2,4,0.0,3.0,1,1,512,0
4,129465.0,0,1,8,3,1,0,3,0.0,2.5,1,2,256,1024
0,146996.5,2,1,8,3,0,2,4,1.0,2.5,1,2,512,0
0,164465.0,2,0,16,3,0,2,4,1.0,2.5,1,2,512,0
2,325465.0,1,0,8,5,0,1,6,,3.5,1,4,256,0
4,127746.5,0,1,8,3,0,0,4,1.0,4.0,1,1,512,0
1,173215.0,0,1,8,3,0,3,4,1.0,2.0,1,3,512,0
1,199465.0,0,1,16,3,1,3,4,1.0,3.0,1,3,512,0
1,173215.0,0,1,8,3,1,3,3,1.0,2.0,1,3,512,0
0,157465.0,2,1,8,3,0,2,4,1.0,1.0,1,1,512,0
5,118650.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
4,108465.0,0,1,8,3,0,0,4,0.0,2.5,1,1,512,0
4,118923.0,0,1,8,3,0,0,4,0.0,4.0,1,1,512,0
5,127295.0,2,0,4,3,1,2,3,0.0,2.5,1,1,0,1024
7,139965.0,2,1,8,3,1,2,3,1.0,3.0,1,2,512,0
5,143465.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
5,115244.5,2,0,8,3,1,3,1,1.0,1.5,1,2,0,1024
0,168658.0,2,1,8,3,1,2,4,1.0,1.0,1,1,512,0
7,180215.0,0,0,8,3,1,0,3,1.0,2.0,1,2,512,0
1,94496.5,2,1,8,3,0,2,4,0.0,3.0,1,1,256,0
7,104965.0,2,1,8,4,0,2,4,0.0,1.0,1,1,256,0
5,178465.0,2,1,16,3,0,2,4,1.0,2.5,1,2,512,0
1,97965.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
4,141925.0,2,1,8,3,1,2,3,0.0,3.0,1,1,0,1024
5,143465.0,2,1,8,3,0,2,4,1.0,2.5,1,2,512,0
5,192465.0,2,1,8,3,0,2,4,1.0,2.5,1,1,512,0
6,202996.5,2,0,8,3,1,3,3,1.0,2.5,1,3,512,0
4,160615.0,2,1,8,3,1,2,4,0.0,3.5,1,1,512,0
5,185500.0,2,0,8,3,0,3,4,1.0,2.5,1,3,512,0
0,195965.0,2,0,8,3,1,3,3,1.0,2.5,1,3,512,0
4,145215.0,2,1,8,3,0,2,4,0.0,4.0,1,1,512,0
5,185500.0,2,1,8,3,0,3,4,1.0,2.5,1,3,512,0
5,136465.0,0,1,16,3,0,0,4,1.0,2.0,1,1,512,0
7,115465.0,2,0,8,4,0,2,4,0.0,1.0,1,1,512,0
4,132615.0,0,1,8,3,1,0,3,0.0,2.5,1,1,256,0
4,97965.0,0,1,8,3,0,0,4,0.0,2.5,1,1,256,0
5,121415.0,2,1,8,3,1,2,4,0.0,2.0,1,1,256,0
0,216965.0,2,0,16,3,1,2,4,1.0,4.0,1,2,512,0
7,223916.0,2,0,16,3,1,2,3,1.0,2.5,1,2,512,0
3,120746.5,2,1,8,3,0,2,4,0.0,4.0,1,1,256,1024
4,233086.0,0,0,16,3,0,0,4,1.0,2.5,1,1,512,0
4,129846.5,2,0,8,3,0,2,4,0.0,3.5,1,1,512,0
4,146996.5,0,0,8,3,1,0,3,1.0,2.0,1,2,512,0
7,148722.0,0,0,8,3,1,0,3,1.0,2.0,1,2,512,0
4,190715.0,0,1,8,3,0,0,4,1.0,4.0,1,1,512,0
5,113750.0,2,1,8,3,0,2,4,0.0,3.0,1,1,256,0
0,108150.0,2,0,4,3,1,2,3,0.0,3.0,1,1,256,0
4,213496.5,2,1,8,3,0,3,4,1.0,2.0,1,3,512,0
4,138761.0,2,0,8,3,1,2,3,0.0,2.0,1,1,256,0
0,132965.0,0,1,8,6,1,0,4,0.0,4.0,1,1,512,0
5,143290.0,2,0,4,3,1,2,3,0.0,2.0,1,1,0,1024
0,216646.5,0,1,16,3,0,0,4,2.0,4.0,1,1,512,0
5,164465.0,2,1,8,3,0,2,4,1.0,3.5,1,2,512,0
0,237965.0,0,0,16,3,1,3,3,2.0,3.0,2,3,512,0
4,176046.5,2,1,8,3,1,2,3,1.0,2.5,1,2,512,0
5,202965.0,2,1,16,3,0,2,4,1.0,3.5,1,2,512,0
0,195965.0,2,1,8,3,1,3,4,1.0,4.5,1,3,512,0
7,167996.5,2,0,8,4,0,2,4,1.0,1.0,1,1,512,0
5,129115.0,2,0,8,3,0,2,4,0.0,4.0,1,1,256,0
4,182647.5,2,0,8,3,1,2,3,0.0,4.0,1,1,256,0
4,77248.5,2,0,4,3,1,2,3,0.0,1.0,1,1,0,1024
5,139650.0,2,1,8,3,0,2,4,0.0,1.5,1,1,512,0
4,188996.5,0,1,8,3,1,0,4,1.0,3.5,2,3,512,0
3,132965.0,2,0,8,3,0,2,4,0.0,2.0,1,1,512,0
1,174965.0,2,0,16,3,0,3,4,1.0,3.5,1,3,512,0
4,153996.5,0,0,8,3,1,0,3,0.0,3.5,1,1,512,0
5,138068.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
1,171465.0,2,0,8,3,0,3,4,1.0,3.5,1,3,512,0
4,209300.0,2,1,8,3,0,2,4,1.0,4.0,1,2,512,0
5,122850.0,2,0,8,3,1,2,3,0.0,3.0,1,1,512,0
4,196224.0,0,0,8,3,1,3,3,1.0,3.0,1,3,512,0
3,129465.0,2,1,8,3,0,2,4,0.0,1.0,1,1,512,0
1,202965.0,2,0,16,3,0,3,4,1.0,3.5,1,1,512,0
5,205765.0,2,0,16,3,1,2,3,1.0,2.5,1,2,512,0
1,188615.0,2,0,8,3,0,3,4,1.0,3.5,1,3,512,0
5,101465.0,0,1,8,6,0,0,4,0.0,2.5,1,2,512,0
4,180215.0,2,0,8,3,0,2,4,1.0,4.0,1,2,512,0
4,134750.0,2,0,8,3,1,2,4,0.0,2.0,1,1,512,0
4,269496.5,2,1,16,3,1,2,3,2.0,5.0,1,2,1024,0
3,111965.0,0,1,8,3,0,0,4,0.0,2.5,1,1,256,0
6,216965.0,0,1,16,3,0,0,4,2.0,3.0,1,3,512,0
6,167191.5,2,1,8,3,0,3,3,1.0,2.5,1,3,512,0
1,220465.0,2,1,8,3,0,3,4,1.0,3.5,1,3,512,0
1,97212.5,2,1,4,3,1,2,3,0.0,1.0,1,1,512,0
1,106260.0,2,0,4,3,1,2,3,0.0,2.0,1,1,0,1024
